ticker,current_price,predicted_price,potential_return,volatility,risk_adjusted_return
HEROMOTOCO.NS,3652.5,3696.206142578125,1.1966089686002699,25.442106959108656,0.04703262078582945
INDUSINDBK.NS,936.75,949.5108447265625,1.3622465680878015,34.160746118632,0.03987754141426095
HCLTECH.NS,1557.949951171875,1571.447333984375,0.866355353864061,24.494546924910505,0.03536931532230112
INFY.NS,1686.0,1700.0296411132813,0.8321258074306812,24.09146137391557,0.034540279417488745
RELIANCE.NS,1249.800048828125,1259.8022863769531,0.8003070217677405,23.910106069019378,0.03347149608862289
TITAN.NS,3079.35009765625,3098.942490234375,0.6362508957015639,25.098106436723373,0.025350553728252824
BAJFINANCE.NS,8404.5,8451.5470703125,0.5597842859479953,29.79970798790224,0.01878489165649712
NTPC.NS,329.54998779296875,330.79750579833984,0.3785519804524503,27.479244543641446,0.01377592385595787
COALINDIA.NS,380.6499938964844,382.0502212524414,0.3678516690946872,31.137338686715832,0.011813844233631446
BHARTIARTL.NS,1630.699951171875,1634.4309838867186,0.22879946198332848,23.808447392343524,0.00961001186733862
ICICIBANK.NS,1214.550048828125,1216.5755334472656,0.1667683123552534,24.02435927317089,0.006941634133048088
BRITANNIA.NS,4748.25,4754.300688476563,0.12742986314037286,20.295551667437582,0.006278709011138771
SUNPHARMA.NS,1609.300048828125,1611.4849475097656,0.13576701766905314,21.78389465206918,0.006232449240024078
M&M.NS,2727.85009765625,2731.9035327148435,0.14859449432636468,29.596870568123627,0.005020615067540406
CIPLA.NS,1458.449951171875,1460.0886254882812,0.11235725402092193,23.90843820626883,0.004699481122587995
DIVISLAB.NS,5578.75,5585.40197265625,0.11923769045485295,27.42443367347741,0.004347863364273208
TATASTEEL.NS,151.55999755859375,151.73455841064452,0.11517607209203633,59.090942177346164,0.0019491324363447307
ONGC.NS,232.88999938964844,233.01567611694335,0.05396398627003574,33.98984154470091,0.001587650421937576
DABUR.NS,495.79998779296875,495.69246368408204,-0.021686993048415773,20.57069593182551,-0.0010542663758333624
HINDUNILVR.NS,2204.550048828125,2203.9230346679688,-0.028441820156886552,20.470543845496938,-0.001389402273410685
ADANIPORTS.NS,1144.5,1143.4488684082032,-0.0918419914195522,40.24322279393874,-0.002282172873922638
BAJAJHLDNG.NS,11774.9501953125,11766.6020703125,-0.07089732747509836,29.711226644859117,-0.002386213410928478
ULTRACEMCO.NS,10582.400390625,10575.838310546875,-0.06200937250435799,24.395580433761,-0.0025418281263168197
UPL.NS,629.8499755859375,629.3525415039062,-0.07897659781101858,30.512814424897233,-0.002588309184175972
MARUTI.NS,11664.150390625,11656.5213671875,-0.06540573622602627,24.012247419182984,-0.002723849004394929
ADANIPOWER.NS,506.1499938964844,505.34749725341794,-0.1585491756877422,55.32626094783485,-0.0028657128273539495
SIEMENS.NS,5106.10009765625,5099.273544921875,-0.13369406403740747,29.78293231823227,-0.004488948992962783
HDFCBANK.NS,1689.25,1687.2947570800782,-0.11574621399566846,22.59008310316034,-0.005123762204286696
TECHM.NS,1492.3499755859375,1489.6796215820314,-0.1789361776789447,27.841192068429805,-0.0064270300366142475
SBIN.NS,732.75,731.3859423828125,-0.18615593547424647,28.36434718645483,-0.006563025556362664
BAJAJ-AUTO.NS,7574.75,7562.304453125,-0.16430307105845365,24.73538342435882,-0.0066424307333215575
DLF.NS,667.0499877929688,665.2435931396484,-0.27080349094931716,36.29734500890738,-0.007460696943064621
NESTLEIND.NS,2238.449951171875,2234.6592138671876,-0.16934652940097342,19.161896169076062,-0.008837670755896747
WIPRO.NS,284.79998779296875,284.08695220947266,-0.25036362853162225,26.4712812851695,-0.009457933895775877
TATAMOTORS.NS,648.2999877929688,646.0143145751953,-0.35256413092875094,36.776098752617,-0.009586773553670163
POWERGRID.NS,263.29998779296875,262.5464721679688,-0.28618141281208953,27.256649236631205,-0.010499508223757743
TATACONSUM.NS,962.0499877929688,959.2327917480469,-0.29283260544337725,23.84770651946661,-0.012279277472839635
KOTAKBANK.NS,1935.4000244140625,1929.3133642578125,-0.31449106538544724,24.598106274214242,-0.012785173861742464
GRASIM.NS,2407.25,2397.442275390625,-0.4074244307560442,24.64955342102093,-0.016528673919447
DRREDDY.NS,1133.25,1128.8525524902343,-0.38803860664157935,22.378189112267517,-0.01734003608133154
AXISBANK.NS,1037.6500244140625,1032.4257666015626,-0.5034701189786913,26.418915538242665,-0.01905718341276703
APOLLOHOSP.NS,6216.10009765625,6172.9101953125,-0.6948070601378267,30.088082937467465,-0.02309243369150022
ITC.NS,403.8999938964844,401.8457470703125,-0.5086028366463343,21.47522671279222,-0.023683234801119616
JSWSTEEL.NS,1011.1500244140625,1003.7955084228515,-0.727341721172656,30.618636030809913,-0.023754870087641086
TCS.NS,3611.199951171875,3589.4397314453126,-0.6025758756310605,21.08130941290094,-0.028583417843215546
EICHERMOT.NS,5100.7001953125,5054.696010742187,-0.9019190073666769,27.321841725350215,-0.033010915458522805
ASIANPAINT.NS,2270.0,2243.9805883789063,-1.1462295868323213,23.544280143779474,-0.04868399372724765
PIDILITIND.NS,2751.199951171875,2719.4331494140624,-1.1546525996513446,22.2189831407869,-0.0519669416163233
